City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
567,Kingaroy,AU,69.76,overcast clouds,-26.5333,151.8333,Ascot Lodge Motel Kingaroy
572,Sambava,MG,74.77,light rain,-14.2667,50.1667,Melrose
579,Viru,PE,63.7,overcast clouds,-8.4167,-78.75,AYAR PORTENTOS DE MONTAÑA
582,Portel,BR,75.94,light rain,-1.9356,-50.8211,Kitnet do Marcos
583,Bhatkal,IN,74.52,few clouds,13.9667,74.5667,Nilawar Palace
585,Lagoa,PT,63.18,overcast clouds,39.05,-27.9833,Casa Das Faias
593,Newcastle,AU,73.98,overcast clouds,-32.9272,151.7765,NOAH'S on the beach
598,Wilmington,US,62.51,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
603,Makakilo City,US,73.62,light rain,21.3469,-158.0858,Marriott's Ko Olina Beach Club
605,Odweyne,SO,61.38,clear sky,9.4092,45.064,Eng Hiirey House
617,Chemax,MX,72.41,clear sky,20.65,-87.9333,"Hotel ""Don Roger"""
619,Ormond Beach,US,71.74,scattered clouds,29.2858,-81.0559,Makai Beach Lodge
621,San Quintin,MX,62.26,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
622,King City,US,72.77,clear sky,36.2127,-121.126,Days Inn by Wyndham King City
624,Xuddur,SO,69.4,few clouds,4.1213,43.8894,Banjanay Hotel
627,Batouri,CM,72.01,overcast clouds,4.4333,14.3667,Hotel Hollywood
628,Humaita,BR,75.34,moderate rain,-7.5061,-63.0208,Corrêa Hotel
631,Camopi,GF,72.66,overcast clouds,3.1655,-52.3158,La pousada
634,Celestun,MX,75.69,clear sky,20.8667,-90.4,Posada Lilia
636,Camana,PE,68.61,overcast clouds,-16.6228,-72.7111,Hostal Morales
643,Narsingdi,BD,68.02,overcast clouds,23.9208,90.7181,Abdul Kadir Mollah City College Boys Hostel
645,Paita,PE,67.1,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
646,Springdale,US,67.19,overcast clouds,36.1867,-94.1288,Springdale Inn
649,Ampanihy,MG,70.9,clear sky,-24.7,44.75,Angora Hotel
651,Ananas,HT,71.6,broken clouds,19.2466,-71.9557,
658,Buraydah,SA,61.27,few clouds,26.326,43.975,فندق راحة السلام
665,Badou,TG,75.27,broken clouds,7.5833,0.6,Hôtel Abuta
667,Hualmay,PE,66.83,overcast clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
670,Sesheke,ZM,67.98,overcast clouds,-17.4759,24.2968,Protea Hotel by Marriott Zambezi River Lodge
671,Vavuniya,LK,71.87,clear sky,8.7514,80.4971,Thampa Hotel
677,Mapimi,MX,74.17,overcast clouds,25.8167,-103.85,Propiedad Lldm
681,Parbatipur,BD,67.32,overcast clouds,25.6649,88.9247,ARMAN Telecom
682,Agadez,NE,61.2,scattered clouds,19.75,10.25,
688,Marawi,PH,67.64,overcast clouds,7.9986,124.2928,Derogongan Residence
