City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
192,Matagami,CA,49.7502,-77.6328,6.91,85,1,10.36,clear sky
193,Nabinagar,BD,23.8917,90.9733,68.07,98,100,8.01,overcast clouds
194,Toyooka,JP,35.5333,134.8333,39.25,100,75,3.44,fog
195,Vardo,NO,70.3705,31.1107,7.0,80,27,20.2,scattered clouds
196,Kloulklubed,PW,7.0419,134.2556,83.73,77,100,13.62,overcast clouds
197,Riyadh,SA,24.6877,46.7219,55.54,36,5,2.35,clear sky
198,Emba,KZ,48.8264,58.1442,27.77,81,100,6.2,overcast clouds
199,Naze,JP,28.3667,129.4833,65.32,70,74,17.02,broken clouds
200,Chimbote,PE,-9.0853,-78.5783,66.36,85,100,9.24,overcast clouds
201,Port Macquarie,AU,-31.4333,152.9167,72.9,66,97,6.64,overcast clouds
202,Hobyo,SO,5.3505,48.5268,78.4,74,9,16.31,clear sky
203,Zalantun,CN,48.0,122.7167,21.36,67,1,16.46,clear sky
204,Cap Malheureux,MU,-19.9842,57.6142,78.48,71,14,5.01,few clouds
205,Poli,TZ,-3.3333,36.8,64.67,87,99,2.95,overcast clouds
206,Ahipara,NZ,-35.1667,173.1667,75.4,63,56,10.36,broken clouds
207,Roma,US,43.2128,-75.4557,41.13,76,100,10.0,overcast clouds
208,Wad Rawah,SD,15.1603,33.1397,77.05,27,0,11.18,clear sky
209,Ermelo,ZA,-26.5333,29.9833,56.52,96,100,6.33,overcast clouds
210,Imbituba,BR,-28.24,-48.6703,72.82,94,100,11.65,overcast clouds
211,Acajutla,SV,13.5928,-89.8275,80.4,65,0,2.15,clear sky
212,Vestmanna,FO,62.1564,-7.1664,36.52,70,75,17.27,broken clouds
213,Alice Springs,AU,-23.7,133.8833,78.35,41,0,9.22,clear sky
214,Constitucion,CL,-35.3333,-72.4167,58.08,89,8,5.95,clear sky
215,Gari,RU,59.4307,62.3497,3.94,92,88,3.51,light snow
216,Kavieng,PG,-2.5744,150.7967,83.28,76,92,7.36,moderate rain
217,Salinas,US,36.6777,-121.6555,69.01,69,1,14.97,clear sky
218,Praia Da Vitoria,PT,38.7333,-27.0667,61.05,88,75,5.01,broken clouds
219,Kosh-Agach,RU,50.0,88.6667,11.98,47,100,0.98,overcast clouds
220,Marzuq,YE,14.4,46.4667,58.96,40,1,1.43,clear sky
221,Oktyabrskoye,RU,43.0645,44.7417,26.74,93,9,6.71,clear sky
222,Tukrah,LY,32.5341,20.5791,61.03,68,51,16.87,broken clouds
223,Puri,IN,19.8,85.85,72.37,90,100,8.84,overcast clouds
224,Fortuna,US,40.5982,-124.1573,56.43,72,90,1.01,overcast clouds
225,Upington,ZA,-28.4478,21.2561,62.98,55,0,6.91,clear sky
226,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.49,86,38,14.38,scattered clouds
227,Bismarck,US,46.8083,-100.7837,26.87,79,90,12.66,light rain
228,Ugoofaaru,MV,5.6667,73.0,82.2,72,25,10.42,scattered clouds
229,Shunyi,CN,40.125,116.6453,34.95,44,0,8.95,clear sky
230,Kenora,CA,49.8167,-94.4337,24.78,80,90,8.05,light snow
231,Markova,UA,48.6758,24.4138,28.98,97,100,2.33,overcast clouds
232,Ode,NG,7.7899,5.7117,75.24,36,41,1.79,scattered clouds
233,Puerto Maldonado,PE,-12.6,-69.1833,73.8,94,90,3.44,moderate rain
234,Touros,BR,-5.1989,-35.4608,81.5,77,80,15.05,broken clouds
