City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
162,Kaitangata,NZ,2021-12-04 00:45:52,-46.2817,169.8464,58.77,98,100,4.59
163,Nuqui,CO,2021-12-04 00:45:52,5.7125,-77.2708,75.9,92,100,5.32
164,Hengshui,CN,2021-12-04 00:45:53,37.7322,115.7011,42.15,45,0,2.77
165,Ayan,RU,2021-12-04 00:45:53,56.45,138.1667,-4.34,85,14,11.03
166,Hay River,CA,2021-12-04 00:42:55,60.8156,-115.7999,-7.62,71,90,16.11
167,Camacha,PT,2021-12-04 00:45:54,33.0833,-16.3333,61.56,67,75,12.66
168,Zuenoula,CI,2021-12-04 00:45:54,7.4292,-6.0431,74.25,72,99,3.8
169,Cabo San Lucas,MX,2021-12-04 00:45:54,22.8909,-109.9124,81.52,72,100,6.13
170,Tuktoyaktuk,CA,2021-12-04 00:45:55,69.4541,-133.0374,-22.0,69,20,9.22
171,Omagh,GB,2021-12-04 00:45:55,54.6,-7.3,40.28,76,100,14.07
172,Khandbari,NP,2021-12-04 00:45:55,27.3747,87.2039,57.31,80,78,1.34
173,Tiksi,RU,2021-12-04 00:45:56,71.6872,128.8694,-31.86,99,39,5.93
174,Smolenka,RU,2021-12-04 00:45:56,52.1352,113.4974,14.07,73,59,2.24
175,Pevek,RU,2021-12-04 00:45:57,69.7008,170.3133,-6.38,94,100,15.79
176,Kibaya,TZ,2021-12-04 00:45:57,-5.3,36.5667,58.82,90,80,5.12
177,Ormond Beach,US,2021-12-04 00:45:00,29.2858,-81.0559,65.12,73,1,0.0
178,Bodden Town,KY,2021-12-04 00:45:58,19.2833,-81.25,80.6,83,20,1.99
179,Sinnamary,GF,2021-12-04 00:45:58,5.3833,-52.95,77.58,89,56,9.15
180,Chuy,UY,2021-12-04 00:46:58,-33.6971,-53.4616,61.68,83,99,7.43
181,Impfondo,CG,2021-12-04 00:46:59,1.6381,18.0667,70.79,96,98,1.54
182,Beringovskiy,RU,2021-12-04 00:46:59,63.05,179.3167,16.52,70,23,15.61
183,Mae Sot,TH,2021-12-04 00:47:00,16.7167,98.5667,60.75,100,20,0.0
184,Nikolskoye,RU,2021-12-04 00:47:00,59.7035,30.7861,24.03,95,100,5.97
185,Satipo,PE,2021-12-04 00:47:00,-11.2522,-74.6386,70.92,94,100,2.48
186,Mount Isa,AU,2021-12-04 00:47:01,-20.7333,139.5,96.57,24,96,14.97
187,Alyangula,AU,2021-12-04 00:47:01,-13.8483,136.4192,89.47,74,40,3.44
188,Valentin Gomez Farias,MX,2021-12-04 00:47:01,28.2167,-106.5833,62.49,34,3,9.73
189,Cherskiy,RU,2021-12-04 00:47:02,68.75,161.3,-9.27,97,100,14.63
190,Birjand,IR,2021-12-04 00:47:03,32.8663,59.2211,39.67,93,16,6.91
191,Les Escoumins,CA,2021-12-04 00:47:03,48.1111,-69.0236,20.55,75,99,14.7
192,Arraial Do Cabo,BR,2021-12-04 00:47:03,-22.9661,-42.0278,72.03,75,1,3.13
193,Samarai,PG,2021-12-04 00:47:04,-10.6167,150.6667,83.73,74,53,8.21
194,Bucerias,MX,2021-12-04 00:46:18,20.75,-105.3333,74.62,86,0,1.92
195,Talara,PE,2021-12-04 00:47:04,-4.5772,-81.2719,66.43,86,16,14.85
196,Puerto Quijarro,BO,2021-12-04 00:47:05,-17.7833,-57.7667,83.82,64,100,1.12
197,Iqaluit,CA,2021-12-04 00:47:05,63.7506,-68.5145,4.73,71,20,5.01
198,Shitanjing,CN,2021-12-04 00:47:05,39.2342,106.3439,31.66,16,75,4.12
199,Makakilo City,US,2021-12-04 00:44:06,21.3469,-158.0858,75.52,74,90,17.27
200,Carballo,ES,2021-12-04 00:47:06,43.213,-8.691,56.89,91,100,11.21
